position,value
2122.97605,0.000000
2129.11182,0.000000
2135.24759,0.000001
2141.38336,0.000003
2147.51913,0.000005
2153.65490,0.000007
2159.79067,0.000008
2165.92643,0.000009
2172.06220,0.000008
2178.19797,0.000006
2184.33374,0.000004
2190.46951,0.000002
2196.60528,0.000001
2202.74105,0.000000
2208.87682,0.000000
2215.01259,0.000000
2221.14835,0.000001
2227.28412,0.000001
2233.41989,0.000001
2239.55566,0.000001
2245.69143,0.000001
2251.82720,0.000000
2257.96297,0.000000
2264.09874,0.000000
2270.23451,0.000001
2276.37028,0.000001
2282.50604,0.000002
2288.64181,0.000003
2294.77758,0.000003
2300.91335,0.000002
2307.04912,0.000002
2313.18489,0.000001
2319.32066,0.000000
2325.45643,0.000000
2331.59220,0.000001
2337.72796,0.000003
2343.86373,0.000005
2349.99950,0.000007
2356.13527,0.000009
2362.27104,0.000010
2368.40681,0.000011
2374.54258,0.000010
2380.67835,0.000008
2386.81412,0.000005
2392.94988,0.000003
2399.08565,0.000001
2405.22142,0.000000
2411.35719,0.000000
2417.49296,0.000001
2423.62873,0.000003
2429.76450,0.000004
2435.90027,0.000005
2442.03604,0.000006
2448.17181,0.000006
2454.30757,0.000005
2460.44334,0.000004
2466.57911,0.000002
2472.71488,0.000001
2478.85065,0.000000
2484.98642,0.000000
2491.12219,0.000000
2497.25796,0.000000
2503.39373,0.000000
2509.52949,0.000000
2515.66526,0.000000
2521.80103,0.000000
2527.93680,0.000000
2534.07257,0.000000
2540.20834,0.000001
2546.34411,0.000002
2552.47988,0.000004
2558.61565,0.000005
2564.75142,0.000007
2570.88718,0.000007
2577.02295,0.000007
2583.15872,0.000006
2589.29449,0.000004
2595.43026,0.000002
2601.56603,0.000001
2607.70180,0.000000
2613.83757,0.000000
2619.97334,0.000002
2626.10910,0.000004
2632.24487,0.000006
2638.38064,0.000008
2644.51641,0.000010
2650.65218,0.000010
2656.78795,0.000009
2662.92372,0.000007
2669.05949,0.000005
2675.19526,0.000003
2681.33102,0.000001
2687.46679,0.000000
2693.60256,0.000000
2699.73833,0.000001
2705.87410,0.000003
2712.00987,0.000004
2718.14564,0.000005
2724.28141,0.000005
2730.41718,0.000004
2736.55295,0.000003
2742.68871,0.000002
2748.82448,0.000000
2754.96025,0.000000
2761.09602,0.000000
2767.23179,0.000002
2773.36756,0.000003
2779.50333,0.000005
2785.63910,0.000007
2791.77487,0.000008
2797.91063,0.000008
2804.04640,0.000007
2810.18217,0.000005
2816.31794,0.000003
2822.45371,0.000001
2828.58948,0.000000
2834.72525,0.000000
2840.86102,0.000001
2846.99679,0.000002
2853.13256,0.000004
2859.26832,0.000005
2865.40409,0.000005
2871.53986,0.000005
2877.67563,0.000004
2883.81140,0.000003
2889.94717,0.000002
2896.08294,0.000001
2902.21871,0.000000
2908.35448,0.000000
2914.49024,0.000001
2920.62601,0.000002
2926.76178,0.000004
2932.89755,0.000005
2939.03332,0.000005
2945.16909,0.000005
2951.30486,0.000004
2957.44063,0.000003
2963.57640,0.000002
2969.71216,0.000001
2975.84793,0.000000
2981.98370,0.000000
2988.11947,0.000000
2994.25524,0.000000
3000.39101,0.000001
3006.52678,0.000001
3012.66255,0.000001
3018.79832,0.000001
3024.93409,0.000001
3031.06985,0.000001
3037.20562,0.000000
3043.34139,0.000000
3049.47716,0.000000
3055.61293,0.000000
3061.74870,0.000000
3067.88447,0.000000
3074.02024,0.000000
3080.15601,0.000000
3086.29177,0.000000
3092.42754,0.000000
3098.56331,0.000000
3104.69908,0.000000
3110.83485,0.000001
3116.97062,0.000002
3123.10639,0.000003
3129.24216,0.000003
3135.37793,0.000003
3141.51370,0.000003
