clusterID,DV,AP_dist,power,effects,area
121,-1043.99850169314,1,2,0.598776116210572,m2_1
121,-1043.99850169314,2,2,0.737197649220606,m2_1
121,-1043.99850169314,3,2,1.0364330457867,m2_1
121,-1043.99850169314,0,4,0.157839586552155,m2_1
121,-1043.99850169314,1,4,0.69066118825646,m2_1
121,-1043.99850169314,2,4,1.30813340463506,m2_1
121,-1043.99850169314,3,4,1.1149236157331,m2_1
123,-1086.28466962851,0,2,0.289678123879106,m2_1
123,-1086.28466962851,1,2,0.163898987087261,m2_1
123,-1086.28466962851,2,2,0.383517822632444,m2_1
123,-1086.28466962851,3,2,0.609270885612113,m2_1
123,-1086.28466962851,0,4,0.478917134487346,m2_1
123,-1086.28466962851,1,4,0.190313100449112,m2_1
123,-1086.28466962851,2,4,0.32308230919284,m2_1
123,-1086.28466962851,3,4,0.619466831238043,m2_1
125,-980.569249790095,0,2,0.378749735464543,m2_1
125,-980.569249790095,1,2,0.68941467971547,m2_1
125,-980.569249790095,2,2,0.548478568508397,m2_1
125,-980.569249790095,3,2,0.701151939479029,m2_1
125,-980.569249790095,0,4,0.0954879490784347,m2_1
125,-980.569249790095,1,4,0.853291196154985,m2_1
125,-980.569249790095,2,4,0.469491271831619,m2_1
125,-980.569249790095,3,4,0.654132002809489,m2_1
128,-980.569249790095,0,2,0.344121871305124,m2_1
128,-980.569249790095,1,2,0.648118845533282,m2_1
128,-980.569249790095,2,2,0.827057265237058,m2_1
128,-980.569249790095,3,2,0.981499254431344,m2_1
128,-980.569249790095,0,4,0.107368820898395,m2_1
128,-980.569249790095,1,4,0.589745439993681,m2_1
128,-980.569249790095,2,4,1.09601294732726,m2_1
128,-980.569249790095,3,4,1.02363573838314,m2_1
129,-1001.71233375778,0,2,0.0838842380863328,m2_1
129,-1001.71233375778,1,2,0.829698572816965,m2_1
129,-1001.71233375778,2,2,0.585794823387547,m2_1
129,-1001.71233375778,3,2,1.6576868866283,m2_1
129,-1001.71233375778,0,4,0.0723187886680505,m2_1
129,-1001.71233375778,1,4,0.398900646567182,m2_1
129,-1001.71233375778,2,4,0.11634761096903,m2_1
129,-1001.71233375778,3,4,0.553548075764114,m2_1
131,-980.569249790095,0,2,0.210737987476683,m2_1
131,-980.569249790095,1,2,0.975486571539681,m2_1
131,-980.569249790095,2,2,1.07202134295914,m2_1
131,-980.569249790095,3,2,0.874789007632859,m2_1
131,-980.569249790095,0,4,0.153710392727863,m2_1
131,-980.569249790095,1,4,0.598472959643745,m2_1
131,-980.569249790095,2,4,1.18471033408326,m2_1
131,-980.569249790095,3,4,0.864918007296238,m2_1
132,-1001.71233375778,0,2,0.308294552505631,m2_1
132,-1001.71233375778,1,2,1.18589735744647,m2_1
132,-1001.71233375778,2,2,1.29680852653413,m2_1
132,-1001.71233375778,3,2,1.05183924389569,m2_1
132,-1001.71233375778,0,4,0.132939254698062,m2_1
132,-1001.71233375778,1,4,0.727054685620822,m2_1
132,-1001.71233375778,2,4,1.99670588912215,m2_1
132,-1001.71233375778,3,4,0.827515755691166,m2_1
135,-980.569249790095,0,2,0.109803423246897,m2_1
135,-980.569249790095,1,2,0.894882871753295,m2_1
135,-980.569249790095,2,2,1.00110692888263,m2_1
135,-980.569249790095,3,2,1.1838140316857,m2_1
135,-980.569249790095,0,4,0.113036196793014,m2_1
135,-980.569249790095,1,4,0.664175335339191,m2_1
135,-980.569249790095,2,4,0.632170781425264,m2_1
135,-980.569249790095,3,4,1.10434930706395,m2_1
136,-1001.71233375778,0,2,0.253022884393782,m2_1
136,-1001.71233375778,1,2,1.03369800502707,m2_1
136,-1001.71233375778,2,2,0.848200258473267,m2_1
136,-1001.71233375778,3,2,1.03233991887274,m2_1
136,-1001.71233375778,0,4,0.188725502728144,m2_1
136,-1001.71233375778,1,4,0.781840466183209,m2_1
136,-1001.71233375778,2,4,1.38869715372852,m2_1
136,-1001.71233375778,3,4,0.752261318902815,m2_1
137,-980.569249790095,0,2,0.194572551166427,m2_1
137,-980.569249790095,1,2,0.505407648583903,m2_1
137,-980.569249790095,2,2,1.27990844398863,m2_1
137,-980.569249790095,3,2,1.28318376574136,m2_1
137,-980.569249790095,0,4,0.115721774125503,m2_1
137,-980.569249790095,1,4,0.574675312216037,m2_1
137,-980.569249790095,2,4,0.787867822291629,m2_1
137,-980.569249790095,3,4,1.38559259212722,m2_1
140,-959.426165822412,0,2,0.181646751989072,m2_1
140,-959.426165822412,1,2,1.18056763485074,m2_1
140,-959.426165822412,2,2,1.77850562100113,m2_1
140,-959.426165822412,3,2,1.63707100514342,m2_1
140,-959.426165822412,0,4,0.0829984682691953,m2_1
140,-959.426165822412,1,4,1.15389066066303,m2_1
140,-959.426165822412,2,4,1.21409681298714,m2_1
140,-959.426165822412,3,4,1.36926353077319,m2_1
141,-938.28308185473,0,2,0.14165634387031,m2_1
141,-938.28308185473,1,2,1.50644796148788,m2_1
141,-938.28308185473,2,2,2.20963948368122,m2_1
141,-938.28308185473,3,2,0.768238680078213,m2_1
141,-938.28308185473,0,4,0.210923329804008,m2_1
141,-938.28308185473,1,4,0.321062341354532,m2_1
141,-938.28308185473,2,4,0.334726612685581,m2_1
141,-938.28308185473,3,4,1.45243914095996,m2_1
143,-959.426165822412,0,2,0.106039426445642,m2_1
143,-959.426165822412,1,2,0.449753675134218,m2_1
143,-959.426165822412,2,2,0.613748532859402,m2_1
143,-959.426165822412,3,2,0.822097090619183,m2_1
143,-959.426165822412,0,4,0.105685059896997,m2_1
143,-959.426165822412,1,4,0.354838087616347,m2_1
143,-959.426165822412,2,4,0.481937070102304,m2_1
143,-959.426165822412,3,4,1.09193642229725,m2_1
144,-959.426165822412,0,2,0.144159062636549,m2_1
144,-959.426165822412,1,2,0.705220940209802,m2_1
144,-959.426165822412,2,2,0.811549157181438,m2_1
144,-959.426165822412,3,2,0.893423926005971,m2_1
144,-959.426165822412,0,4,0.204755334093098,m2_1
144,-959.426165822412,1,4,0.30963711821699,m2_1
144,-959.426165822412,2,4,0.885137894100952,m2_1
144,-959.426165822412,3,4,1.05640333258928,m2_1
145,-959.426165822412,0,2,0.14216641870733,m2_1
145,-959.426165822412,1,2,0.744129370889231,m2_1
145,-959.426165822412,2,2,0.783507786252458,m2_1
145,-959.426165822412,3,2,1.10779457873263,m2_1
145,-959.426165822412,0,4,0.114990676606297,m2_1
145,-959.426165822412,1,4,0.389097187236396,m2_1
145,-959.426165822412,2,4,0.768026707864678,m2_1
145,-959.426165822412,3,4,0.804631603295398,m2_1
149,-959.426165822412,0,2,0.192273104688793,m2_1
149,-959.426165822412,1,2,0.243013289049618,m2_1
149,-959.426165822412,2,2,0.491382217666962,m2_1
149,-959.426165822412,3,2,0.695305337836698,m2_1
149,-959.426165822412,0,4,0.246170988998414,m2_1
149,-959.426165822412,1,4,0.262911660571269,m2_1
149,-959.426165822412,2,4,0.343528584853791,m2_1
149,-959.426165822412,3,4,0.791712610202428,m2_1
150,-917.139997887047,0,2,0.115803627259216,m2_1
150,-917.139997887047,1,2,0.629616401742072,m2_1
150,-917.139997887047,2,2,0.88781248394014,m2_1
150,-917.139997887047,3,2,1.05741052962171,m2_1
150,-917.139997887047,0,4,0.113084351362587,m2_1
150,-917.139997887047,1,4,0.542991316948118,m2_1
150,-917.139997887047,2,4,0.916874344507656,m2_1
150,-917.139997887047,3,4,0.855274020954247,m2_1
151,-917.139997887047,0,2,0.133501614008772,m2_1
151,-917.139997887047,1,2,0.629389188492215,m2_1
151,-917.139997887047,2,2,0.855261555043868,m2_1
151,-917.139997887047,3,2,0.890683420795606,m2_1
151,-917.139997887047,0,4,0.112562664668794,m2_1
151,-917.139997887047,1,4,0.556969644088952,m2_1
151,-917.139997887047,2,4,1.09957411441478,m2_1
151,-917.139997887047,3,4,1.13990943636746,m2_1
152,-895.996913919364,0,2,0.260148409908789,m2_1
152,-895.996913919364,1,2,0.341696389660702,m2_1
152,-895.996913919364,2,2,0.500719798788622,m2_1
152,-895.996913919364,3,2,0.565263816695183,m2_1
152,-895.996913919364,0,4,0.486647414234047,m2_1
152,-895.996913919364,1,4,0.511549359650311,m2_1
152,-895.996913919364,2,4,0.694397622191834,m2_1
152,-895.996913919364,3,4,0.931744157974271,m2_1
153,-917.139997887047,0,2,0.196809432610758,m2_1
153,-917.139997887047,1,2,2.26931015232314,m2_1
153,-917.139997887047,2,2,1.91125599166821,m2_1
153,-917.139997887047,3,2,2.27575695250652,m2_1
153,-917.139997887047,0,4,0.138947618935312,m2_1
153,-917.139997887047,1,4,1.39207827293805,m2_1
153,-917.139997887047,2,4,2.50268030377982,m2_1
153,-917.139997887047,3,4,2.53291003119781,m2_1
154,-917.139997887047,0,2,0.366785204869567,m2_1
154,-917.139997887047,1,2,1.17573379669137,m2_1
154,-917.139997887047,2,2,1.81063306927077,m2_1
154,-917.139997887047,3,2,1.38140363117034,m2_1
154,-917.139997887047,0,4,0.260898693762089,m2_1
